Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA46,13.6,Low Fat,0.12,Snack Foods,192.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.38
FDC02,21.35,Low Fat,0.07,Canned,259.93,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.52
FDL50,12.15,Regular,0.04,Canned,126.50,OUT013,1987,High,Tier 3,Supermarket Type1,373.51
FDM39,6.42,LF,0.09,Dairy,178.10,OUT010,1998,,Tier 3,Grocery Store,358.20
NCP05,19.6,Low Fat,0.00,Health and Hygiene,153.30,OUT045,2002,,Tier 2,Supermarket Type1,2428.84
FDV49,10,Low Fat,0.03,Canned,265.22,OUT045,2002,,Tier 2,Supermarket Type1,5815.10
FDL12,15.85,Regular,0.12,Baking Goods,60.62,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.65
FDS02,,Regular,0.26,Dairy,196.88,OUT019,1985,Small,Tier 1,Grocery Store,780.32
NCL17,7.39,Low Fat,0.07,Health and Hygiene,143.88,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.59
FDM40,10.195,Low Fat,0.16,Frozen Foods,141.52,OUT013,1987,High,Tier 3,Supermarket Type1,850.89
FDR13,9.895,Regular,0.03,Canned,117.05,OUT013,1987,High,Tier 3,Supermarket Type1,810.94
FDA43,10.895,Low Fat,0.07,Fruits and Vegetables,196.38,OUT017,2007,,Tier 2,Supermarket Type1,3121.27
NCP18,12.15,Low Fat,0.03,Household,151.47,OUT017,2007,,Tier 2,Supermarket Type1,4815.07
FDK21,7.905,Low Fat,0.01,Snack Foods,249.04,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
NCX54,9.195,Low Fat,0.05,Household,106.16,OUT045,2002,,Tier 2,Supermarket Type1,2117.24
DRK35,8.365,Low Fat,0.07,Hard Drinks,38.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.96
FDY21,15.1,Low Fat,0.17,Snack Foods,194.51,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.28
FDI26,,Low Fat,0.06,Canned,180.03,OUT019,1985,Small,Tier 1,Grocery Store,892.17
FDM20,10,Low Fat,0.00,Fruits and Vegetables,246.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.19
FDV27,7.97,Regular,0.04,Meat,87.35,OUT045,2002,,Tier 2,Supermarket Type1,1062.62
FDF09,,Low Fat,0.01,Fruits and Vegetables,38.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.70
FDY40,,Regular,0.15,Frozen Foods,51.07,OUT019,1985,Small,Tier 1,Grocery Store,147.81
FDY45,,Low Fat,0.03,Snack Foods,255.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.36
FDC46,17.7,LF,0.20,Snack Foods,185.43,OUT010,1998,,Tier 3,Grocery Store,184.43
FDH19,19.35,Low Fat,0.03,Meat,172.57,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.67
FDZ03,13.65,Regular,0.08,Dairy,186.02,OUT045,2002,,Tier 2,Supermarket Type1,1118.54
DRH37,17.6,Low Fat,0.04,Soft Drinks,164.85,OUT045,2002,,Tier 2,Supermarket Type1,2302.34
NCI17,8.645,Low Fat,0.14,Health and Hygiene,95.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.36
FDJ58,15.6,Regular,0.11,Snack Foods,170.18,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.53
FDL12,15.85,Regular,0.12,Baking Goods,59.22,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
FDH35,18.25,Low Fat,0.00,Starchy Foods,164.75,OUT045,2002,,Tier 2,Supermarket Type1,4604.67
FDG02,7.855,Low Fat,0.01,Canned,189.62,OUT017,2007,,Tier 2,Supermarket Type1,2285.03
NCZ18,7.825,low fat,0.19,Household,254.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.74
FDC29,8.39,Regular,0.02,Frozen Foods,114.02,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.35
FDQ10,12.85,Low Fat,0.03,Snack Foods,172.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.10
FDN48,,Low Fat,0.11,Baking Goods,89.98,OUT019,1985,Small,Tier 1,Grocery Store,643.16
FDL04,19,Low Fat,0.11,Frozen Foods,104.96,OUT017,2007,,Tier 2,Supermarket Type1,1587.93
FDV25,5.905,Low Fat,0.00,Canned,222.55,OUT045,2002,,Tier 2,Supermarket Type1,5305.09
FDD58,7.76,Low Fat,0.06,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79
FDN04,11.8,reg,0.01,Frozen Foods,180.33,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.48
FDV45,16.75,low fat,0.05,Snack Foods,187.96,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89
NCL18,,Low Fat,0.29,Household,194.61,OUT019,1985,Small,Tier 1,Grocery Store,583.24
FDR12,,Regular,0.03,Baking Goods,171.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.98
FDG20,15.5,Regular,0.13,Fruits and Vegetables,177.00,OUT017,2007,,Tier 2,Supermarket Type1,2479.44
FDZ55,6.055,Low Fat,0.03,Fruits and Vegetables,160.99,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.46
FDQ49,,Regular,0.04,Breakfast,155.96,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.72
FDN33,6.305,Regular,0.12,Snack Foods,95.64,OUT046,1997,Small,Tier 1,Supermarket Type1,661.81
FDN27,20.85,Low Fat,0.04,Meat,117.28,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.35
FDW20,20.75,Low Fat,0.04,Fruits and Vegetables,122.17,OUT010,1998,,Tier 3,Grocery Store,369.52
DRG27,8.895,Low Fat,0.11,Dairy,39.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.43
DRI25,19.6,Low Fat,0.03,Soft Drinks,55.16,OUT045,2002,,Tier 2,Supermarket Type1,1381.54
FDA44,19.7,Low Fat,0.05,Fruits and Vegetables,57.89,OUT035,2004,Small,Tier 2,Supermarket Type1,622.52
NCR17,9.8,Low Fat,0.02,Health and Hygiene,114.55,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.34
FDU04,,Low Fat,0.01,Frozen Foods,120.04,OUT019,1985,Small,Tier 1,Grocery Store,487.37
FDF41,12.15,Low Fat,0.13,Frozen Foods,246.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
FDB56,8.75,Regular,0.07,Fruits and Vegetables,187.46,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.11
NCP18,,Low Fat,0.03,Household,149.97,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.65
FDB56,8.75,Regular,0.07,Fruits and Vegetables,187.86,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.29
FDT28,13.3,Low Fat,0.06,Frozen Foods,151.07,OUT045,2002,,Tier 2,Supermarket Type1,1805.65
FDD10,,Regular,0.05,Snack Foods,178.53,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.95
FDW57,8.31,Regular,0.12,Snack Foods,179.10,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.26
DRB48,16.75,Regular,0.02,Soft Drinks,38.78,OUT013,1987,High,Tier 3,Supermarket Type1,667.80
FDP09,19.75,Low Fat,0.03,Snack Foods,212.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.85
FDH14,17.1,Regular,0.05,Canned,141.18,OUT013,1987,High,Tier 3,Supermarket Type1,2247.74
FDA47,10.5,Regular,0.12,Baking Goods,163.12,OUT013,1987,High,Tier 3,Supermarket Type1,1794.33
FDG12,6.635,Regular,0.00,Baking Goods,121.31,OUT045,2002,,Tier 2,Supermarket Type1,2530.71
DRE60,,low fat,0.28,Soft Drinks,225.37,OUT019,1985,Small,Tier 1,Grocery Store,679.12
DRK49,14.15,Low Fat,0.04,Soft Drinks,41.41,OUT013,1987,High,Tier 3,Supermarket Type1,812.28
FDD03,13.3,Low Fat,0.08,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09
FDS52,8.89,low fat,0.01,Frozen Foods,102.40,OUT017,2007,,Tier 2,Supermarket Type1,2732.44
FDW39,,Regular,0.06,Meat,176.94,OUT019,1985,Small,Tier 1,Grocery Store,176.44
FDX34,,Low Fat,0.07,Snack Foods,121.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.33
FDV11,9.1,Regular,0.00,Breads,173.21,OUT045,2002,,Tier 2,Supermarket Type1,3151.90
FDD17,7.5,Low Fat,0.03,Frozen Foods,239.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.27
FDZ16,16.85,Regular,0.16,Frozen Foods,192.45,OUT017,2007,,Tier 2,Supermarket Type1,4843.70
FDZ46,7.485,Low Fat,0.07,Snack Foods,109.02,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.02
DRA12,11.6,Low Fat,0.04,Soft Drinks,140.32,OUT017,2007,,Tier 2,Supermarket Type1,2552.68
FDY58,11.65,Low Fat,0.04,Snack Foods,227.07,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.85
NCF19,13,Low Fat,0.04,Household,47.50,OUT017,2007,,Tier 2,Supermarket Type1,680.45
DRJ13,12.65,LF,0.06,Soft Drinks,159.06,OUT045,2002,,Tier 2,Supermarket Type1,2085.95
FDB14,20.25,Regular,0.17,Canned,92.51,OUT010,1998,,Tier 3,Grocery Store,186.42
FDJ38,8.6,Regular,0.04,Canned,190.15,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.05
FDW11,12.6,Low Fat,0.05,Breads,62.72,OUT017,2007,,Tier 2,Supermarket Type1,866.87
FDL40,17.7,Low Fat,0.01,Frozen Foods,95.04,OUT035,2004,Small,Tier 2,Supermarket Type1,868.87
DRI49,14.15,Low Fat,0.18,Soft Drinks,82.43,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.19
FDV38,19.25,Low Fat,0.10,Dairy,52.80,OUT017,2007,,Tier 2,Supermarket Type1,928.13
DRG23,8.88,Low Fat,0.09,Hard Drinks,151.77,OUT013,1987,High,Tier 3,Supermarket Type1,762.34
NCP30,20.5,Low Fat,0.03,Household,40.28,OUT045,2002,,Tier 2,Supermarket Type1,707.08
FDY25,,Low Fat,0.03,Canned,180.60,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.29
NCH54,13.5,Low Fat,0.07,Household,160.29,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.13
NCR53,,Low Fat,0.14,Health and Hygiene,224.44,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.25
FDS52,8.89,Low Fat,0.01,Frozen Foods,101.70,OUT010,1998,,Tier 3,Grocery Store,101.20
FDG02,7.855,Low Fat,0.01,Canned,188.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.09
NCO26,7.235,Low Fat,0.08,Household,116.05,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.44
FDH35,,Low Fat,0.06,Starchy Foods,165.45,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.48
FDB51,6.92,Low Fat,0.04,Dairy,60.59,OUT045,2002,,Tier 2,Supermarket Type1,1314.29
FDX44,9.3,Low Fat,0.04,Fruits and Vegetables,90.82,OUT017,2007,,Tier 2,Supermarket Type1,535.30
NCN07,18.5,Low Fat,0.06,Others,132.13,OUT010,1998,,Tier 3,Grocery Store,263.66
NCC31,8.02,Low Fat,0.02,Household,154.60,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.17
NCX54,9.195,Low Fat,0.05,Household,105.16,OUT017,2007,,Tier 2,Supermarket Type1,1693.80
NCO55,12.8,Low Fat,0.09,Others,105.59,OUT045,2002,,Tier 2,Supermarket Type1,2143.88
NCC30,16.6,Low Fat,0.03,Household,177.63,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.52
FDI16,14,Regular,0.00,Frozen Foods,53.06,OUT035,2004,Small,Tier 2,Supermarket Type1,905.49
FDP16,18.6,Low Fat,0.04,Frozen Foods,246.38,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.41
FDB11,16,Low Fat,0.06,Starchy Foods,226.84,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.13
NCB06,17.6,Low Fat,0.08,Health and Hygiene,160.69,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92
FDA45,21.25,Low Fat,0.16,Snack Foods,178.24,OUT035,2004,Small,Tier 2,Supermarket Type1,529.31
NCO26,7.235,Low Fat,0.08,Household,117.55,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.44
DRJ25,14.6,Low Fat,0.15,Soft Drinks,50.37,OUT017,2007,,Tier 2,Supermarket Type1,1034.65
FDR28,13.85,reg,0.03,Frozen Foods,161.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.33
FDI04,13.65,Regular,0.07,Frozen Foods,197.64,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.40
DRK12,,Low Fat,0.04,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83
FDX20,7.365,Low Fat,0.04,Fruits and Vegetables,226.17,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.21
NCI18,18.35,Low Fat,0.01,Household,223.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.99
FDB36,5.465,Regular,0.00,Baking Goods,132.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.33
FDN13,18.6,Low Fat,0.15,Breakfast,99.84,OUT017,2007,,Tier 2,Supermarket Type1,1910.18
DRD24,13.85,Low Fat,0.03,Soft Drinks,140.92,OUT017,2007,,Tier 2,Supermarket Type1,1701.78
FDQ28,14,Regular,0.06,Frozen Foods,154.57,OUT013,1987,High,Tier 3,Supermarket Type1,2471.45
FDM22,14,Regular,0.04,Snack Foods,54.76,OUT013,1987,High,Tier 3,Supermarket Type1,1331.60
FDR07,,Low Fat,0.08,Fruits and Vegetables,97.01,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.98
FDV25,5.905,Low Fat,0.05,Canned,222.55,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.68
DRF49,7.27,Low Fat,0.07,Soft Drinks,114.25,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.59
FDW51,6.155,Regular,0.09,Meat,214.56,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.73
DRL01,19.5,Regular,0.08,Soft Drinks,233.50,OUT017,2007,,Tier 2,Supermarket Type1,5375.00
FDP25,15.2,Low Fat,0.02,Canned,216.88,OUT017,2007,,Tier 2,Supermarket Type1,2838.97
FDL50,12.15,Regular,0.04,Canned,125.00,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.06
NCB30,,Low Fat,0.03,Household,198.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.44
FDW11,12.6,Low Fat,0.05,Breads,61.92,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.19
NCM43,14.5,Low Fat,0.02,Others,164.82,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.57
FDK44,16.6,Low Fat,0.12,Fruits and Vegetables,173.07,OUT017,2007,,Tier 2,Supermarket Type1,3823.02
FDM15,11.8,Regular,0.06,Meat,151.44,OUT013,1987,High,Tier 3,Supermarket Type1,1360.23
FDS31,13.1,Regular,0.04,Fruits and Vegetables,178.83,OUT013,1987,High,Tier 3,Supermarket Type1,3969.50
FDI32,17.7,Low Fat,0.29,Fruits and Vegetables,115.18,OUT010,1998,,Tier 3,Grocery Store,345.55
FDR47,17.85,LF,0.00,Breads,196.58,OUT010,1998,,Tier 3,Grocery Store,585.24
FDB35,12.3,Regular,0.06,Starchy Foods,92.68,OUT045,2002,,Tier 2,Supermarket Type1,1010.68
NCU05,11.8,Low Fat,0.10,Health and Hygiene,81.46,OUT010,1998,,Tier 3,Grocery Store,161.12
DRY23,,Regular,0.19,Soft Drinks,42.11,OUT019,1985,Small,Tier 1,Grocery Store,42.61
FDO24,11.1,Low Fat,0.18,Baking Goods,157.46,OUT045,2002,,Tier 2,Supermarket Type1,3010.75
FDQ28,,Regular,0.06,Frozen Foods,153.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.16
FDV39,11.3,Low Fat,0.01,Meat,198.14,OUT045,2002,,Tier 2,Supermarket Type1,988.71
NCO17,,Low Fat,0.13,Health and Hygiene,117.94,OUT019,1985,Small,Tier 1,Grocery Store,239.69
FDU50,5.75,Regular,0.08,Dairy,112.82,OUT013,1987,High,Tier 3,Supermarket Type1,1374.21
FDT12,,Regular,0.05,Baking Goods,226.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739.83
FDK58,11.35,Regular,0.05,Snack Foods,100.00,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.02
FDO08,,Regular,0.09,Fruits and Vegetables,165.75,OUT019,1985,Small,Tier 1,Grocery Store,657.81
NCW29,14,Low Fat,0.03,Health and Hygiene,130.43,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.99
FDE04,19.75,Regular,0.02,Frozen Foods,179.77,OUT045,2002,,Tier 2,Supermarket Type1,2336.96
NCB19,6.525,Low Fat,0.09,Household,85.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.09
FDV15,10.3,Low Fat,0.15,Meat,103.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.84
FDL58,5.78,Regular,0.07,Snack Foods,264.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.82
FDA08,11.85,Regular,0.05,Fruits and Vegetables,164.15,OUT045,2002,,Tier 2,Supermarket Type1,3124.60
FDT43,16.35,Low Fat,0.02,Fruits and Vegetables,50.13,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.39
NCX06,,Low Fat,0.02,Household,182.60,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070.73
FDT20,10.5,Low Fat,0.04,Fruits and Vegetables,37.62,OUT046,1997,Small,Tier 1,Supermarket Type1,540.63
FDB41,19,Regular,0.10,Frozen Foods,48.07,OUT046,1997,Small,Tier 1,Supermarket Type1,992.71
NCN55,14.6,Low Fat,0.06,Others,238.85,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.85
FDE40,,Regular,0.10,Dairy,62.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.26
FDX49,,reg,0.10,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359.69
NCM53,18.75,Low Fat,0.05,Health and Hygiene,104.63,OUT045,2002,,Tier 2,Supermarket Type1,745.70
FDE36,5.26,Regular,0.04,Baking Goods,161.89,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.74
FDN57,18.25,Low Fat,0.05,Snack Foods,140.22,OUT045,2002,,Tier 2,Supermarket Type1,1701.78
FDI24,,Low Fat,0.08,Baking Goods,177.94,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.61
FDI19,15.1,Low Fat,0.05,Meat,242.75,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.97
FDF24,15.5,Regular,0.04,Baking Goods,81.59,OUT010,1998,,Tier 3,Grocery Store,327.57
FDG52,13.65,Low Fat,0.07,Frozen Foods,45.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.98
DRF36,16.1,LF,0.02,Soft Drinks,189.38,OUT045,2002,,Tier 2,Supermarket Type1,3630.61
FDS45,,Regular,0.05,Snack Foods,107.36,OUT019,1985,Small,Tier 1,Grocery Store,317.59
FDX40,12.85,Low Fat,0.17,Frozen Foods,39.72,OUT010,1998,,Tier 3,Grocery Store,231.70
DRK12,9.5,LF,0.04,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16
DRC27,13.8,Low Fat,0.06,Dairy,245.18,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.64
FDL58,5.78,Regular,0.00,Snack Foods,263.76,OUT017,2007,,Tier 2,Supermarket Type1,2636.57
NCD30,19.7,Low Fat,0.03,Household,96.07,OUT045,2002,,Tier 2,Supermarket Type1,1272.34
NCZ54,14.65,Low Fat,0.00,Household,161.56,OUT010,1998,,Tier 3,Grocery Store,324.91
FDE10,6.67,Regular,0.15,Snack Foods,130.06,OUT010,1998,,Tier 3,Grocery Store,131.16
FDR44,6.11,Regular,0.00,Fruits and Vegetables,131.30,OUT010,1998,,Tier 3,Grocery Store,260.99
FDP28,13.65,Regular,0.13,Frozen Foods,260.09,OUT010,1998,,Tier 3,Grocery Store,260.99
FDX15,17.2,Low Fat,0.16,Meat,160.66,OUT013,1987,High,Tier 3,Supermarket Type1,3690.53
FDA39,6.32,LF,0.00,Meat,40.28,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.18
FDY24,4.88,Regular,0.13,Baking Goods,52.93,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995.40
FDC60,5.425,Regular,0.12,Baking Goods,88.35,OUT017,2007,,Tier 2,Supermarket Type1,1416.82
FDH28,15.85,Regular,0.11,Frozen Foods,37.25,OUT046,1997,Small,Tier 1,Supermarket Type1,265.65
FDT25,7.5,Low Fat,0.05,Canned,121.71,OUT017,2007,,Tier 2,Supermarket Type1,3552.71
DRJ13,12.65,Low Fat,0.06,Soft Drinks,161.56,OUT013,1987,High,Tier 3,Supermarket Type1,2406.87
NCO07,,Low Fat,0.02,Others,211.96,OUT019,1985,Small,Tier 1,Grocery Store,213.06
FDW20,20.75,Low Fat,0.02,Fruits and Vegetables,124.17,OUT013,1987,High,Tier 3,Supermarket Type1,2956.15
DRF27,,Low Fat,0.05,Dairy,152.13,OUT019,1985,Small,Tier 1,Grocery Store,153.13
FDS49,9,Low Fat,0.00,Canned,79.76,OUT035,2004,Small,Tier 2,Supermarket Type1,1649.85
FDX25,,Low Fat,0.10,Canned,181.93,OUT027,1985,Medium,Tier 3,Supermarket Type3,3101.30
NCX42,,Low Fat,0.01,Household,165.65,OUT027,1985,Medium,Tier 3,Supermarket Type3,4769.13
FDG33,,Regular,0.14,Seafood,170.48,OUT027,1985,Medium,Tier 3,Supermarket Type3,3435.53
FDL56,14.1,Low Fat,0.13,Fruits and Vegetables,86.42,OUT045,2002,,Tier 2,Supermarket Type1,1133.86
FDF14,7.55,Low Fat,0.03,Canned,152.33,OUT035,2004,Small,Tier 2,Supermarket Type1,2603.28
NCD06,13,Low Fat,0.10,Household,45.41,OUT046,1997,Small,Tier 1,Supermarket Type1,605.88
DRM47,,Low Fat,0.04,Hard Drinks,192.88,OUT027,1985,Medium,Tier 3,Supermarket Type3,2293.02
FDS46,,Regular,0.08,Snack Foods,118.78,OUT019,1985,Small,Tier 1,Grocery Store,119.18
